Ticker,Company Name,2015,2014,2013,2012,2011,2010,2009,2008
COF,Capital One Financial,38403,45682.4,43872.6,33727.3,19451.2,19450.5,17451.2,12494.4
COG,Cabot Oil & Gas,7321.4,12229.6,16139.5,10446.6,7917,3936.7,4518.3,2687.3
COH,Coach Inc.,9083.2,10355.3,15579,15577.8,17550,16358.3,11469.8,6667.3
COL,Rockwell Collins,12119.5,11193.6,10001.4,7957.7,8122.8,9012.8,8708.1,6180.1
COP,ConocoPhillips,57645.4,85037.2,86612.6,70748.8,93686.8,97435.1,75903.1,76673.3
COST,Costco Co.,70641.2,62440.7,52335.7,43010.3,36238.3,31521.5,25995.3,22745.3
COV,Covidien,,46225.2,30833.9,27263,21692.9,22605.4,23899.5,18234.6
CPB,Campbell Soup,16292.1,13728,13503.4,10920.6,10537.1,11224.3,11458.2,10533.5
CPGX,Columbia Pipeline Group Inc.,7782.3,,,,,,,
CPWR,Compuware,,,2458.8,2317.5,1809.6,2540.8,1626.6,1632.1
CRM,Salesforce.com,52057.6,38586.8,33673.8,24611,13903.8,17545.6,9380,3932.4
CSC,Computer Sciences Corp.,,8749.6,8134.5,6014.1,3678.3,7662.3,8856.7,5323.7
CSCO,Cisco Systems,137840.9,142260,119924.6,104326.7,97195.6,112130.1,137716.9,95437.9
CSRA,CSRA Inc,4918,,,,,,,
CSX,CSX Corp.,25299.8,35925.3,29024.9,20134.2,22095.2,23927.8,19078.9,12680.4
CTAS,Cintas Corp.,9829.8,9199.7,7139.9,5040.1,4516,4062.6,3985.3,3549.3
CTL,CenturyLink Inc.,13812.9,22501.9,18588.8,24475.7,23008.7,14079.4,10833.6,2740.6
CTSH,Cognizant Technology Sol.,36496.3,32090.9,30684.2,22288.1,19492.7,22275.8,13473.5,5267.6
CTX,Centex Corp.,,,,,,,,1324
CTXS,Citrix Systems,11636.8,10257.5,11593,12227.8,11282.6,12826.2,7598.4,4243.9
CVC,Cablevision Systems Corp.,7100.4,5662.7,4800.5,3954.6,3900.7,9989.7,7798.2,5003.7
CVG,Convergys Corp.,,2024.8,2121.8,1737.8,1473.7,1608.1,1323.3,782.7
CVH,Coventry Health Care,,,,6032.9,4287.4,3944.9,3594.7,2206.5
CVS,CVS Health Corp.,108262.4,109793.4,84452.6,59518.9,52932.4,47391.5,44804.1,41301.2
CVX,Chevron Corp.,169308,212067.8,240223.5,211649.6,211893.9,183634.1,154462.6,150291.6
D,Dominion Resources,40268.4,44986.5,37584.9,29836.8,30255.6,24820.3,23313.1,20894.7
DAL,Delta Air Lines,39866.4,40594.4,23389.1,10106.2,6838,10517.5,8921.4,7966.3
DD,DuPont,58368.7,66914.1,60226.3,41967.1,42397.9,45755.4,30431.4,22830.1
DDR,DDR Corp.,,6605.1,5507.8,4921.3,3362.3,3600.8,1862.1,626.7
DDS,Dillard's Inc.,,5156.4,4272.2,4001.6,2219,2275.5,1362.2,291.6
DE,Deere & Co.,25029.2,30459.9,34019,33519.7,31259.1,35106.1,22860.5,16182.8
DELL,"Dell, Inc.",,,,17615.9,26282.9,26155.4,28082.7,19911
DF,Dean Foods,,1823.3,1630.1,3063.7,2058,1611.1,3262.6,2768
DFS,Discover Financial Services,22921.7,29417.3,26422.1,19192.9,12691.9,10093,7986.4,4574.3
DG,Dollar General,20909.5,21453.7,19124.9,14420.5,13909,10474,7639.3,
DGX,Quest Diagnostics,10197.9,9656.6,7709.8,9225.9,9139.8,9213.6,11067.2,9882.3
DHI,D. R. Horton,11837.4,9239.5,7220.4,6354.6,3994.1,3809.1,3455.3,2238.8
DHR,Danaher Corp.,63649.3,60365.6,53893.3,38431.3,32350.8,30960.5,24269.7,18023.5
DIS,The Walt Disney Co.,173715.9,160123,129880,89622,68958.8,70320,60497.8,41289
DISCA,Discovery Com Class A,3988.8,5839.1,31665.1,23189.3,15937.3,17180.4,13065.5,5975.5
DISCK,Discovery Com Class C,6921.4,10500.6,,,,,,
DLPH,Delphi Automotive,24011.9,21206.5,18423.2,12060.2,7070.4,,,
DLTR,Dollar Tree,18130.9,14476,11742.8,9109.1,9606,6919.9,4227.4,3784.2
DNB,Dun & Bradstreet,3755.3,4342.5,4640,3248.2,3569.4,4071.7,4319.7,4114.8
DNR,Denbury Resources Inc.,,2872.8,5956,6084.1,5873.6,7640,3874.2,2703.4
DO,Diamond Offshore Drilling,2894.1,5034.7,7913.9,9448.6,7682.6,9296.7,13682.9,8192.7
DOV,Dover Corp.,9501,11691.2,16402.8,11480.7,10657.5,10900.3,7775.9,6123
DOW,Dow Chemical,57890,53754.2,53851.3,38771.2,33988.9,39626.8,31601.1,13939.8
DPS,Dr Pepper Snapple Group,17604.7,13831.2,9645.6,9069.8,8374.9,7873.6,7191.3,4122.4
DRI,Darden Restaurants,8154.8,7272.8,7136.8,5830.1,5854.5,6376.2,4903.7,3860.3
DTE,DTE Energy Co.,14392.2,15286.7,11756.8,10349.7,9215.5,7678.5,7209.8,5814.9
DTV,DirecTV,,43587,35863.3,29435.9,29560.3,32281.3,31121.8,23464
DUK,Duke Energy,49140.2,59062.8,48721.1,44915.2,29392,23669.5,22527.9,19092.7
DV,"DeVry, Inc.",,3020.2,2234.6,1535.9,2639.7,3408,4041,4097.8
DVA,DaVita Inc.,14709.5,16332.6,13508.1,11660.8,7098.9,6671.2,6053.9,5143.1
DVN,Devon Energy Corp.,13152,25034.9,25119.2,21128.2,25054.2,33877.1,32832.5,29155.5
DYN,Dynegy Inc.,,,,,339.9,679.5,1087.3,1005.8
EA,Electronic Arts,21358.7,14576.2,7088.5,4370.5,6839.2,5470.9,5804.3,5148.8
EBAY,eBay Inc.,32994,69721.6,71001.8,65994,39019.2,36115.3,30537.2,17897.1
ECL,Ecolab Inc.,33776.9,31340.6,31399.3,21190.5,16879,11723.3,10547.4,8301.7
ED,Consolidated Edison,18843.4,19332.7,16190,16266.1,18167.9,14455.4,12771.5,10656
EDS,Electronics Data Systems,,,,,,,,
EFX,Equifax Inc.,13194.7,9655.9,8422.1,6516,4633.3,4364.6,3898.3,3349.5
EIX,Edison Int'l,19291.3,21334.1,15085,14723.4,13488.6,12576.3,11331.7,10465
EK,Eastman Kodak Co.,,,,,,1441.2,1131.8,1766.5
EL,Estee Lauder Cos.,19600.2,28867.6,29220.5,23160.8,21771.8,15923.4,9535.8,6089.6
EMC,EMC Corp.,49789.3,60518.2,51754.9,53298.4,43940.7,47183.1,35635.7,21366.7
EMN,Eastman Chemical,10032.5,11272.6,12300,10472.6,5347.9,5942.1,4360.5,2297.9
EMR,Emerson Electric Co,31307.5,42732.5,49485,38320.7,34256.5,43122.5,32047,27979.6
ENDP,Endo International plc,13852,11100.2,7781.8,2906.1,4045.5,4144.4,2406.4,3017.2
EOG,EOG Resources,38913.8,50481.5,45834.8,32810.4,26501.1,23225.2,24569.1,16620.5
EP,El Paso Corp.,,,,,20518.3,9690.5,6893.6,5469.8
EQ,Embarq Corp.,,,,,,,,5120.7
EQIX,Equinix Inc,18739.7,12454.7,8799.6,10063.4,4732.4,3751.5,4173.3,2007.7
EQR,Equity Residential,29720.1,26067.5,18698,18420.9,16966.9,15075.7,9457,8134.5
EQT,EQT Corporation,7951.9,11475.8,13546.4,8853.4,8189.8,6688,5750.5,4390.6
ES,Eversource Energy,16198.9,16964.9,13366.3,12273.2,6390.1,5625.2,4529.2,3749.4
ESRX,Express Scripts,59113.3,61478.9,54337.7,44177.4,21656,28542.1,23766.1,13615.7
ESS,Essex Property Trust Inc,15809.4,13156.9,5370.3,5344.4,4761.6,3577.9,2413.3,2025.9
ESV,Ensco plc,3624,7015.8,13354.4,13779.6,10836.2,7630.7,5693.4,4025.7
ETFC,E*Trade Financial Corp.,8684.5,7017.8,5643.7,2560.7,2271.5,3533.5,3333.4,648.1
ETN,Eaton Corporation,24084.1,31798.5,36164.6,25502.5,14556.4,17251.6,10573.6,8202.2
ETR,Entergy Corp.,12194.5,15680,11285.5,11335.3,12882.8,12660.6,15477.4,15741.3
EW,Edwards Lifesciences,17036.8,13731.6,7187.6,10306.4,8066.9,9296.6,4933.1,3071.7
EXC,Exelon Corp.,25536.3,31882.6,23481.2,25421.2,28770.3,27559.2,32244.4,36600
EXPD,Expeditors Int'l,8407.2,8549.8,8963,8162.8,8683.7,11577.8,7372.1,7052.3
EXPE,Expedia Inc.,17087.1,10846.4,9033.9,8314.7,3876.5,6873.3,7449.6,2364.7
F,Ford Motor,54919.7,61317.1,60853.2,50793.1,40896,63511.7,33682.7,5487.6
FAST,Fastenal Co.,11825.3,14071.5,14098.8,13834.7,12876.2,8832.6,6139,5176.3
FB,"Facebook, Inc.",237626,218221.9,139193.6,63142.6,,,,
FCX,Freeport-McMoRan Inc.,7825.2,24271,39174.1,32455.8,34876.9,56742.5,34524.7,9385
FDO,Family Dollar Stores,,9028.8,7477.5,7315.1,6766.6,6484.8,3862.7,3642.1
FDX,FedEx Corporation,42071.6,49201.4,44889.2,28842.8,26263.8,29301,26114,19969.5
